scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w3_self,friend_only,friend only,72,8,4027,1343,1343,0.7051377513030529,0.7035928143712575,0.7197549770290965,0.6881405563689604,0.7813168286081903
w3_self,friend_only,friend only,82,9,4027,1343,1343,0.7110945644080418,0.7087087087087087,0.7272727272727273,0.6910688140556369,0.7761169528373043
w3_self,offline_enemy_only,offline_enemy only,42,7,4027,1343,1343,0.68801191362621,0.6828160484481454,0.7068965517241379,0.6603221083455344,0.7649873552508986
w3_self,offline_enemy_only,offline_enemy only,52,5,4027,1343,1343,0.7163067758749069,0.7221006564551422,0.7194767441860465,0.7247437774524158,0.7780136652025378
w3_self,offline_enemy_only,offline_enemy only,62,10,4027,1343,1343,0.6924795234549516,0.686408504176158,0.7129337539432177,0.6617862371888726,0.7673055592528505
w3_self,offline_enemy_only,offline_enemy only,72,9,4027,1343,1343,0.7036485480268057,0.6929012345679012,0.732463295269168,0.657393850658858,0.7737410710324326
w3_self,offline_enemy_only,offline_enemy only,82,5,4027,1343,1343,0.6976917349218168,0.7027818448023426,0.7027818448023426,0.7027818448023426,0.7660632681130486
w3_self,offline_friend_only,offline_friend only,42,9,4027,1343,1343,0.7066269545793,0.700152207001522,0.7290015847860539,0.6734992679355783,0.7746483872398952
w3_self,offline_friend_only,offline_friend only,52,12,4027,1343,1343,0.7110945644080418,0.7073906485671192,0.7293934681181959,0.6866764275256223,0.7871644704734018
w3_self,offline_friend_only,offline_friend only,62,9,4027,1343,1343,0.7036485480268057,0.6975683890577508,0.7251184834123223,0.6720351390922401,0.773583566262922
w3_self,offline_friend_only,offline_friend only,72,8,4027,1343,1343,0.6895011169024572,0.6838514025777104,0.7091194968553459,0.6603221083455344,0.7734415901326589
w3_self,offline_friend_only,offline_friend only,82,10,4027,1343,1343,0.7058823529411765,0.7027840481565086,0.7229102167182663,0.6837481698389458,0.7774479790585208
w3_self,offline_only,offline only,42,9,4027,1343,1343,0.7066269545793,0.6992366412213741,0.7304625199362041,0.6705710102489019,0.776933315586317
w3_self,offline_only,offline only,52,13,4027,1343,1343,0.7096053611317945,0.7022900763358778,0.733652312599681,0.6734992679355783,0.7832024490882471
w3_self,offline_only,offline only,62,9,4027,1343,1343,0.7148175725986597,0.7105064247921391,0.734375,0.6881405563689604,0.7756244731354541
w3_self,offline_only,offline only,72,8,4027,1343,1343,0.6976917349218168,0.6876923076923077,0.7244732576985413,0.6544655929721815,0.7687608145880473
w3_self,offline_only,offline only,82,15,4027,1343,1343,0.7096053611317945,0.7063253012048193,0.7271317829457364,0.6866764275256223,0.774836949287901
w3_self,online_enemy_only,online_enemy only,42,8,4027,1343,1343,0.7058823529411765,0.6940356312935708,0.7368421052631579,0.6559297218155198,0.7757198633479746
w3_self,online_enemy_only,online_enemy only,52,6,4027,1343,1343,0.7140729709605361,0.7201166180758017,0.7169811320754716,0.7232796486090776,0.7835640445450109
w3_self,online_enemy_only,online_enemy only,62,9,4027,1343,1343,0.6932241250930752,0.6878787878787879,0.7127158555729984,0.664714494875549,0.7680775544611561
w3_self,online_enemy_only,online_enemy only,72,8,4027,1343,1343,0.7073715562174236,0.7086730911786508,0.7177177177177178,0.6998535871156661,0.7766205244243312
w3_self,online_enemy_only,online_enemy only,82,5,4027,1343,1343,0.7021593447505584,0.7071742313323572,0.7071742313323572,0.7071742313323572,0.7698544744664804
w3_self,online_friend_only,online_friend only,42,9,4027,1343,1343,0.7021593447505584,0.6918335901386748,0.7300813008130081,0.657393850658858,0.779127290474289
w3_self,online_friend_only,online_friend only,52,11,4027,1343,1343,0.7103499627699181,0.7032799389778794,0.7340764331210191,0.6749633967789166,0.7857480367363237
w3_self,online_friend_only,online_friend only,62,10,4027,1343,1343,0.7051377513030529,0.698170731707317,0.7281399046104928,0.6705710102489019,0.7709348240827011
w3_self,online_friend_only,online_friend only,72,7,4027,1343,1343,0.7051377513030529,0.6990881458966566,0.7266982622432859,0.6734992679355783,0.7835485159057634
w3_self,online_friend_only,online_friend only,82,14,4027,1343,1343,0.7170513775130305,0.7209985315712188,0.7231222385861561,0.718887262079063,0.7808864634633302
w3_self,online_only,online only,42,17,4027,1343,1343,0.7014147431124349,0.6991747936984246,0.7169230769230769,0.6822840409956076,0.7714783264563645
w3_self,online_only,online only,52,12,4027,1343,1343,0.720029784065525,0.7151515151515152,0.7409733124018838,0.6910688140556369,0.7906850348285195
w3_self,online_only,online only,62,9,4027,1343,1343,0.7058823529411765,0.7023360964581763,0.7236024844720497,0.6822840409956076,0.7706774923465991
w3_self,online_only,online only,72,8,4027,1343,1343,0.7036485480268057,0.6933744221879815,0.7317073170731707,0.6588579795021962,0.7780957451528462
w3_self,online_only,online only,82,10,4027,1343,1343,0.7096053611317945,0.7089552238805971,0.7229832572298326,0.6954612005856515,0.7727339278583788
