student_id,school_id,class,v13,nominated_seat_no,rank
s112014364028,14364,802.0,5,21,2
s112014364028,14364,802.0,5,12,3
s112014364028,14364,802.0,5,18,4
s112014364028,14364,802.0,5,15,5
s112014364029,14364,802.0,6,10,1
s112014364029,14364,802.0,6,18,2
s112014364029,14364,802.0,6,17,3
s112014364029,14364,802.0,6,28,4
s112014364029,14364,802.0,6,20,5
s112014364030,14364,802.0,7,10,1
s112014364030,14364,802.0,7,18,2
s112014364030,14364,802.0,7,17,3
s112014364030,14364,802.0,7,15,4
s112014364031,14364,802.0,8,3,1
s112014364031,14364,802.0,8,6,2
s112014364031,14364,802.0,8,5,3
s112014364033,14364,802.0,10,21,1
s112014364033,14364,802.0,10,18,2
s112014364033,14364,802.0,10,25,3
s112014364033,14364,802.0,10,20,4
s112014364033,14364,802.0,10,28,5
s112014364035,14364,802.0,12,1,1
s112014364035,14364,802.0,12,13,2
s112014364035,14364,802.0,12,15,3
s112014364035,14364,802.0,12,2,4
s112014364035,14364,802.0,12,10,5
s112014364036,14364,802.0,13,15,1
s112014364036,14364,802.0,13,18,2
s112014364037,14364,802.0,14,28,1
s112014364037,14364,802.0,14,18,2
s112014364037,14364,802.0,14,17,3
s112014364040,14364,802.0,17,19,1
s112014364040,14364,802.0,17,18,2
s112014364040,14364,802.0,17,22,4
s112014364040,14364,802.0,17,24,5
s112014364042,14364,802.0,19,17,1
s112014364042,14364,802.0,19,21,2
s112014364043,14364,802.0,20,21,1
s112014364043,14364,802.0,20,25,2
s112014364043,14364,802.0,20,18,3
s112014364043,14364,802.0,20,1,5
s112014364044,14364,802.0,21,6,1
s112014364044,14364,802.0,21,12,2
s112014364044,14364,802.0,21,14,3
s112014364044,14364,802.0,21,10,4
s112014364044,14364,802.0,21,8,5
s112014364045,14364,802.0,22,17,1
s112014364047,14364,802.0,24,17,2
s112014364047,14364,802.0,24,18,3
s112014364047,14364,802.0,24,21,4
s112014364047,14364,802.0,24,20,5
s112014364048,14364,802.0,25,4,1
s112014364048,14364,802.0,25,5,2
s112014364048,14364,802.0,25,7,3
s112014364050,14364,802.0,27,12,1
s112014364053,14364,806.0,1,8,1
s112014364053,14364,806.0,1,3,2
s112014364053,14364,806.0,1,29,3
s112014364053,14364,806.0,1,18,4
s112014364053,14364,806.0,1,26,5
s112014364054,14364,806.0,2,19,1
s112014364054,14364,806.0,2,7,3
s112014364055,14364,806.0,3,20,1
s112014364055,14364,806.0,3,19,2
s112014364055,14364,806.0,3,26,3
s112014364055,14364,806.0,3,24,4
s112014364055,14364,806.0,3,21,5
s112014364058,14364,806.0,6,26,1
s112014364058,14364,806.0,6,7,2
s112014364058,14364,806.0,6,8,3
s112014364058,14364,806.0,6,10,4
s112014364058,14364,806.0,6,16,5
s112014364059,14364,806.0,7,26,1
s112014364060,14364,806.0,8,26,1
s112014364061,14364,806.0,9,26,1
s112014364062,14364,806.0,10,26,1
s112014364066,14364,806.0,14,26,1
s112014364067,14364,806.0,16,28,1
s112014364070,14364,806.0,19,3,1
s112014364071,14364,806.0,20,3,1
s112014364071,14364,806.0,20,26,2
s112014364071,14364,806.0,20,16,3
s112014364071,14364,806.0,20,8,4
s112014364071,14364,806.0,20,22,5
s112014364074,14364,806.0,23,26,1
s112014364074,14364,806.0,23,18,2
s112014364075,14364,806.0,24,26,3
s112014364079,14364,806.0,28,26,1
s112014364079,14364,806.0,28,3,2
s112014364080,14364,806.0,29,1,1
s112014364080,14364,806.0,29,4,2
s112014364080,14364,806.0,29,8,3
s112014364080,14364,806.0,29,10,4
s112014364080,14364,806.0,29,26,5
s112014505024,14505,814.0,1,18,1
s112014505024,14505,814.0,1,23,2
s112014505024,14505,814.0,1,27,3
s112014505024,14505,814.0,1,33,4
s112014505024,14505,814.0,1,26,5
s112014505026,14505,814.0,3,16,1
s112014505026,14505,814.0,3,20,2
s112014505026,14505,814.0,3,21,3
s112014505026,14505,814.0,3,19,4
s112014505028,14505,814.0,5,12,1
s112014505028,14505,814.0,5,1,2
s112014505028,14505,814.0,5,13,3
s112014505028,14505,814.0,5,34,4
s112014505028,14505,814.0,5,29,5
s112014505029,14505,814.0,6,1,1
s112014505029,14505,814.0,6,3,2
s112014505029,14505,814.0,6,14,3
s112014505029,14505,814.0,6,15,4
s112014505030,14505,814.0,7,14,1
s112014505030,14505,814.0,7,26,2
s112014505030,14505,814.0,7,31,3
s112014505030,14505,814.0,7,30,4
s112014505030,14505,814.0,7,23,5
s112014505031,14505,814.0,8,14,1
s112014505032,14505,814.0,9,4,1
s112014505032,14505,814.0,9,14,2
s112014505032,14505,814.0,9,15,3
