idx,ver11_col,ver00_col,deterministic,exact_ratio,raw_nonempty_n,clean_nonempty_n,raw_unique_nonempty,clean_unique_nonempty,mapped_raw_unique_nonempty,mapped_clean_unique_nonempty,collapsed_levels
216,37-1,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-1.用髒話罵或威脅某人。,True,0.927156,489,489,4,4,4,4,0
217,37-2,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-2.說某人的壞話。,True,0.927156,489,489,4,4,4,4,0
218,37-3,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-3.不讓某人加入討論。,True,0.927156,489,489,4,4,4,4,0
219,37-4,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-4.嘲笑某人的外貌、言行舉止。,True,0.927156,489,489,4,4,4,4,0
220,37-5,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-5.嘲笑某人喜歡某個人。,True,0.927156,489,489,4,4,4,4,0
221,37-6,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-6.在網路散布使某人丟臉的照片或影片。,True,0.927156,489,489,4,4,4,4,0
222,37-7,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-7.用某人的社交帳號或是電子郵件，發佈不實的訊息給其他人。,True,0.927156,489,489,4,4,4,4,0
223,38-1,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-1.當同學被惡意嘲笑時，我會幫忙被嘲笑的人。,True,0.0,6713,6713,5,5,5,5,0
224,38-2,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-2.當同學被威脅、騷擾時，我會保護被威脅的人。,True,0.0,6713,6713,5,5,5,5,0
225,38-3,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-3.當同學被惡意排擠而無法分組或參加活動時，我會設法讓同學不要被排擠。,True,0.0,6713,6713,5,5,5,5,0
226,38-4,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-4.當別人嘲笑特定同學，我不會加入對話，或將這些內容傳給別人。,True,0.0,6713,6713,5,5,5,5,0
227,38-5,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-5.當我知道有同學被威脅、騷擾，我不會有任何反應或行動。,True,0.0,6713,6713,5,5,5,5,0
228,38-6,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-6.當有人被惡意排擠而無法分組或參加活動時，我不會多管閒事。,True,0.0,6713,6713,5,5,5,5,0
229,38-7,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-7.當我收到別人傳來同學的出醜或是不雅照片，我不會傳給別人。,True,0.0,6713,6713,5,5,5,5,0
